iter	Passed	Remaining
0	136	136736
1	138	69073
2	140	46671
3	142	35455
4	143	28654
5	145	24118
6	147	20903
7	148	18465
8	150	16556
9	152	15061
10	153	13813
11	155	12777
12	157	11938
13	158	11184
14	160	10549
15	162	9989
16	164	9485
17	165	9027
18	167	8626
19	168	8274
20	170	7961
21	172	7665
22	173	7388
23	175	7132
24	176	6900
25	178	6696
26	180	6500
27	181	6317
28	183	6146
29	185	5985
30	186	5836
31	188	5692
32	189	5563
33	197	5615
34	199	5504
35	201	5386
36	202	5275
37	204	5166
38	205	5074
39	207	4990
40	209	4899
41	211	4827
42	213	4751
43	215	4681
44	217	4607
45	218	4537
46	220	4469
47	222	4403
48	223	4344
49	225	4283
50	227	4224
51	228	4162
52	230	4110
53	231	4057
54	233	4012
55	235	3961
56	236	3916
57	238	3869
58	239	3825
59	241	3782
60	243	3745
61	244	3705
62	246	3666
63	248	3628
64	249	3588
65	251	3554
66	252	3519
67	253	3473
68	254	3436
69	256	3405
70	257	3373
71	259	3348
72	261	3317
73	262	3284
74	263	3253
75	265	3223
76	266	3195
77	267	3167
78	269	3141
79	270	3114
80	272	3087
81	273	3063
82	274	3037
83	276	3011
84	277	2981
85	278	2959
86	279	2931
87	280	2909
88	281	2885
89	283	2865
90	284	2844
91	286	2824
92	287	2803
93	288	2783
94	290	2763
95	291	2747
96	293	2730
97	294	2711
98	296	2694
99	297	2676
100	298	2659
101	299	2636
102	300	2618
103	301	2601
104	303	2586
105	304	2570
106	306	2555
107	307	2539
108	308	2524
109	310	2511
110	311	2496
111	313	2487
112	315	2472
113	316	2462
114	318	2448
115	319	2432
116	320	2419
117	322	2407
118	323	2393
119	324	2380
120	326	2368
121	327	2357
122	328	2339
123	329	2328
124	330	2316
125	332	2304
126	333	2292
127	334	2277
128	335	2266
129	337	2255
130	338	2245
131	339	2234
132	341	2224
133	342	2212
134	343	2202
135	345	2191
136	346	2182
137	347	2170
138	348	2160
139	350	2151
140	351	2141
141	352	2132
142	354	2122
143	355	2113
144	356	2104
145	358	2095
146	359	2086
147	361	2078
148	362	2070
149	363	2061
150	365	2053
151	366	2045
152	367	2036
153	369	2027
154	370	2019
155	371	2011
156	373	2004
157	374	1996
158	375	1988
159	377	1981
160	378	1973
161	380	1966
162	381	1958
163	382	1951
164	384	1944
165	385	1937
166	386	1930
167	388	1923
168	389	1916
169	390	1908
170	392	1902
171	393	1895
172	395	1889
173	396	1883
174	398	1877
175	399	1870
176	401	1865
177	402	1860
178	404	1856
179	406	1851
180	407	1843
181	408	1837
182	410	1833
183	413	1832
184	414	1826
185	416	1820
186	417	1815
187	419	1809
188	420	1804
189	421	1798
190	423	1792
191	424	1786
192	426	1782
193	428	1778
194	430	1775
195	431	1770
196	433	1765
197	434	1760
198	436	1755
199	437	1750
200	439	1745
201	440	1740
202	441	1735
203	443	1730
204	444	1725
205	446	1722
206	448	1717
207	449	1712
208	451	1707
209	452	1702
210	453	1697
211	455	1692
212	456	1687
213	458	1684
214	459	1679
215	461	1674
216	462	1669
217	463	1664
218	465	1660
219	467	1655
220	468	1651
221	469	1646
222	471	1641
223	473	1638
224	474	1634
225	476	1630
226	478	1628
227	480	1625
228	482	1623
229	483	1618
230	484	1614
231	486	1611
232	488	1609
233	490	1605
234	491	1600
235	493	1596
236	494	1592
237	496	1588
238	497	1584
239	498	1579
240	500	1575
241	502	1574
242	504	1571
243	505	1567
244	507	1562
245	508	1558
246	509	1554
247	511	1550
248	512	1546
249	514	1542
250	515	1538
251	516	1533
252	518	1529
253	519	1526
254	520	1521
255	522	1519
256	524	1516
257	526	1514
258	528	1511
259	529	1507
260	531	1504
261	532	1500
262	534	1496
263	535	1493
264	537	1490
265	539	1487
266	540	1484
267	542	1481
268	543	1478
269	545	1475
270	547	1471
271	548	1468
272	550	1464
273	551	1461
274	553	1458
275	554	1454
276	556	1452
277	557	1449
278	559	1445
279	561	1442
280	562	1439
281	563	1435
282	565	1432
283	566	1428
284	567	1424
285	569	1421
286	570	1417
287	572	1414
288	573	1410
289	574	1407
290	576	1404
291	577	1400
292	579	1397
293	580	1394
294	582	1391
295	583	1388
296	585	1385
297	586	1382
298	589	1382
299	591	1379
300	592	1375
301	593	1372
302	595	1369
303	596	1366
304	598	1362
305	599	1359
306	600	1355
307	601	1352
308	603	1348
309	604	1345
310	606	1342
311	607	1339
312	608	1336
313	610	1332
314	611	1329
315	612	1326
316	614	1323
317	615	1320
318	617	1317
319	618	1314
320	619	1311
321	621	1308
322	622	1305
323	624	1302
324	625	1299
325	626	1296
326	628	1293
327	629	1290
328	631	1287
329	632	1284
330	633	1281
331	635	1277
332	636	1274
333	638	1272
334	639	1269
335	640	1266
336	642	1263
337	643	1261
338	645	1258
339	646	1255
340	648	1252
341	649	1249
342	650	1246
343	652	1243
344	653	1241
345	655	1238
346	656	1235
347	657	1232
348	659	1229
349	660	1226
350	661	1223
351	663	1220
352	664	1217
353	665	1214
354	667	1212
355	668	1208
356	669	1206
357	671	1203
358	672	1200
359	673	1198
360	675	1195
361	676	1192
362	678	1190
363	679	1187
364	680	1184
365	682	1181
366	683	1179
367	685	1176
368	686	1173
369	687	1171
370	689	1168
371	690	1166
372	692	1163
373	693	1160
374	694	1158
375	696	1155
376	697	1153
377	699	1150
378	700	1148
379	702	1145
380	703	1142
381	704	1140
382	706	1137
383	707	1134
384	708	1132
385	710	1129
386	711	1126
387	712	1124
388	714	1122
389	716	1120
390	717	1117
391	718	1115
392	720	1112
393	721	1110
394	723	1107
395	724	1104
396	725	1102
397	727	1099
398	728	1097
399	729	1094
400	731	1092
401	732	1090
402	734	1087
403	735	1085
404	736	1082
405	737	1079
406	739	1077
407	740	1074
408	741	1071
409	743	1069
410	744	1067
411	746	1064
412	747	1062
413	748	1059
414	749	1057
415	751	1054
416	752	1052
417	754	1050
418	755	1047
419	757	1046
420	759	1043
421	760	1041
422	761	1039
423	763	1036
424	764	1033
425	765	1031
426	766	1028
427	768	1026
428	769	1023
429	770	1021
430	772	1019
431	773	1016
432	774	1014
433	776	1012
434	777	1009
435	778	1007
436	780	1005
437	781	1002
438	782	1000
439	784	997
440	785	995
441	786	993
442	787	990
443	789	988
444	791	986
445	792	984
446	793	981
447	794	979
448	796	977
449	797	974
450	798	972
451	800	970
452	801	968
453	803	965
454	804	963
455	805	961
456	807	958
457	808	956
458	809	954
459	810	952
460	812	949
461	813	947
462	814	945
463	816	942
464	817	940
465	818	938
466	820	936
467	821	933
468	822	931
469	824	929
470	825	927
471	826	925
472	828	922
473	829	920
474	830	918
475	831	915
476	833	913
477	834	911
478	835	909
479	837	906
480	838	904
481	839	902
482	840	900
483	842	897
484	843	895
485	844	893
486	846	891
487	847	889
488	848	886
489	849	884
490	851	882
491	852	880
492	854	878
493	855	876
494	856	874
495	858	872
496	859	869
497	860	867
498	862	865
499	863	863
500	864	861
501	866	859
502	867	857
503	868	855
504	870	853
505	871	850
506	872	848
507	874	846
508	875	844
509	876	842
510	878	840
511	879	838
512	881	836
513	882	834
514	883	832
515	885	830
516	886	828
517	887	826
518	889	824
519	890	821
520	891	819
521	893	817
522	894	815
523	895	813
524	897	811
525	898	809
526	900	807
527	901	805
528	902	803
529	904	801
530	905	800
531	907	798
532	908	796
533	909	794
534	911	792
535	912	790
536	913	787
537	915	786
538	916	784
539	917	781
540	919	779
541	920	777
542	921	775
543	923	773
544	924	771
545	925	769
546	927	767
547	928	765
548	929	763
549	931	761
550	932	759
551	933	757
552	935	755
553	936	753
554	937	751
555	939	749
556	940	747
557	941	745
558	943	744
559	944	742
560	945	740
561	947	738
562	948	736
563	949	734
564	951	732
565	952	730
566	953	728
567	954	726
568	955	723
569	956	721
570	958	719
571	959	717
572	960	715
573	962	714
574	963	712
575	964	710
576	966	708
577	967	706
578	969	704
579	970	702
580	971	700
581	973	698
582	974	697
583	975	695
584	977	693
585	978	691
586	980	689
587	981	687
588	982	685
589	984	683
590	985	681
591	986	680
592	988	678
593	989	676
594	991	674
595	992	672
596	993	670
597	994	668
598	996	666
599	997	665
600	998	663
601	1000	661
602	1001	659
603	1002	657
604	1003	655
605	1005	653
606	1006	651
607	1008	649
608	1009	648
609	1010	646
610	1012	644
611	1013	642
612	1015	640
613	1016	639
614	1017	637
615	1019	635
616	1020	633
617	1021	631
618	1023	629
619	1024	627
620	1025	626
621	1027	624
622	1028	622
623	1029	620
624	1030	618
625	1031	616
626	1033	614
627	1034	612
628	1036	611
629	1037	609
630	1039	607
631	1040	605
632	1042	604
633	1043	602
634	1044	600
635	1046	598
636	1047	596
637	1048	594
638	1049	593
639	1051	591
640	1052	589
641	1053	587
642	1054	585
643	1055	583
644	1057	581
645	1058	580
646	1059	578
647	1061	576
648	1062	574
649	1063	572
650	1064	570
651	1066	569
652	1067	567
653	1068	565
654	1070	563
655	1071	561
656	1072	560
657	1074	558
658	1075	556
659	1076	554
660	1078	552
661	1079	551
662	1080	549
663	1081	547
664	1083	545
665	1084	543
666	1085	542
667	1087	540
668	1088	538
669	1089	536
670	1090	534
671	1092	533
672	1093	531
673	1095	529
674	1096	528
675	1098	526
676	1099	524
677	1100	522
678	1102	521
679	1103	519
680	1104	517
681	1106	515
682	1107	514
683	1109	512
684	1110	510
685	1111	508
686	1113	507
687	1114	505
688	1116	503
689	1117	502
690	1119	500
691	1120	498
692	1121	496
693	1122	495
694	1124	493
695	1126	491
696	1127	490
697	1129	488
698	1130	486
699	1131	485
700	1133	483
701	1134	481
702	1135	479
703	1137	478
704	1138	476
705	1139	474
706	1141	472
707	1142	471
708	1144	469
709	1145	467
710	1146	466
711	1148	464
712	1149	462
713	1151	461
714	1152	459
715	1153	457
716	1155	455
717	1156	454
718	1157	452
719	1159	450
720	1160	449
721	1162	447
722	1163	445
723	1165	444
724	1166	442
725	1167	440
726	1169	439
727	1170	437
728	1171	435
729	1173	433
730	1174	432
731	1175	430
732	1177	428
733	1179	427
734	1180	425
735	1182	423
736	1183	422
737	1184	420
738	1185	418
739	1187	417
740	1188	415
741	1189	413
742	1191	411
743	1192	410
744	1193	408
745	1195	406
746	1196	405
747	1198	403
748	1199	402
749	1201	400
750	1202	398
751	1204	397
752	1205	395
753	1206	393
754	1208	392
755	1209	390
756	1211	388
757	1213	387
758	1214	385
759	1216	384
760	1217	382
761	1219	380
762	1220	379
763	1222	377
764	1223	375
765	1225	374
766	1226	372
767	1227	370
768	1229	369
769	1230	367
770	1231	365
771	1233	364
772	1234	362
773	1236	360
774	1237	359
775	1239	357
776	1240	356
777	1242	354
778	1243	352
779	1245	351
780	1246	349
781	1247	347
782	1249	346
783	1250	344
784	1251	342
785	1253	341
786	1254	339
787	1255	337
788	1257	336
789	1258	334
790	1260	333
791	1261	331
792	1262	329
793	1264	328
794	1265	326
795	1267	324
796	1269	323
797	1270	321
798	1271	319
799	1273	318
800	1274	316
801	1276	315
802	1277	313
803	1279	311
804	1280	310
805	1281	308
806	1283	306
807	1284	305
808	1286	303
809	1287	301
810	1288	300
811	1290	298
812	1291	297
813	1292	295
814	1294	293
815	1295	292
816	1297	290
817	1298	288
818	1299	287
819	1301	285
820	1302	284
821	1304	282
822	1305	280
823	1307	279
824	1308	277
825	1309	275
826	1311	274
827	1312	272
828	1313	270
829	1315	269
830	1316	267
831	1317	266
832	1319	264
833	1320	262
834	1322	261
835	1323	259
836	1325	258
837	1326	256
838	1327	254
839	1328	253
840	1330	251
841	1331	249
842	1333	248
843	1334	246
844	1336	245
845	1337	243
846	1338	241
847	1340	240
848	1341	238
849	1343	237
850	1344	235
851	1346	233
852	1347	232
853	1349	230
854	1350	229
855	1351	227
856	1353	225
857	1354	224
858	1356	222
859	1357	221
860	1359	219
861	1360	217
862	1362	216
863	1363	214
864	1364	213
865	1366	211
866	1367	209
867	1369	208
868	1370	206
869	1372	205
870	1373	203
871	1375	201
872	1376	200
873	1377	198
874	1379	197
875	1380	195
876	1381	193
877	1383	192
878	1384	190
879	1385	188
880	1387	187
881	1388	185
882	1390	184
883	1391	182
884	1393	181
885	1394	179
886	1396	177
887	1397	176
888	1398	174
889	1399	173
890	1401	171
891	1402	169
892	1404	168
893	1405	166
894	1406	165
895	1408	163
896	1409	161
897	1411	160
898	1412	158
899	1413	157
900	1415	155
901	1416	153
902	1418	152
903	1419	150
904	1421	149
905	1422	147
906	1424	146
907	1425	144
908	1426	142
909	1428	141
910	1429	139
911	1431	138
912	1432	136
913	1433	134
914	1435	133
915	1436	131
916	1437	130
917	1439	128
918	1440	126
919	1441	125
920	1443	123
921	1444	122
922	1446	120
923	1447	119
924	1448	117
925	1450	115
926	1451	114
927	1452	112
928	1454	111
929	1455	109
930	1456	107
931	1458	106
932	1459	104
933	1461	103
934	1462	101
935	1463	100
936	1464	98
937	1465	96
938	1467	95
939	1468	93
940	1470	92
941	1471	90
942	1473	89
943	1474	87
944	1475	85
945	1477	84
946	1478	82
947	1479	81
948	1481	79
949	1482	78
950	1484	76
951	1485	74
952	1486	73
953	1488	71
954	1489	70
955	1491	68
956	1492	67
957	1493	65
958	1495	63
959	1497	62
960	1498	60
961	1500	59
962	1501	57
963	1503	56
964	1504	54
965	1506	53
966	1507	51
967	1508	49
968	1510	48
969	1511	46
970	1512	45
971	1514	43
972	1515	42
973	1516	40
974	1518	38
975	1519	37
976	1520	35
977	1521	34
978	1523	32
979	1524	31
980	1525	29
981	1527	27
982	1528	26
