iter	Passed	Remaining
0	82	82340
1	83	41865
2	85	28365
3	86	21627
4	88	17557
5	89	14857
6	91	12950
7	92	11499
8	94	10410
9	96	9510
10	98	8869
11	101	8345
12	103	7856
13	105	7411
14	106	7018
15	108	6651
16	109	6351
17	111	6071
18	112	5814
19	113	5584
20	115	5383
21	117	5210
22	118	5041
23	120	4886
24	122	4761
25	123	4635
26	125	4522
27	127	4416
28	128	4306
29	130	4207
30	131	4109
31	133	4028
32	134	3946
33	136	3869
34	137	3792
35	139	3734
36	140	3665
37	142	3604
38	143	3544
39	145	3488
40	146	3434
41	148	3381
42	149	3330
43	151	3296
44	153	3251
45	154	3205
46	155	3161
47	157	3122
48	158	3084
49	160	3045
50	161	3010
51	163	2983
52	165	2951
53	166	2917
54	167	2884
55	169	2853
56	170	2827
57	172	2800
58	173	2770
59	175	2744
60	176	2718
61	178	2693
62	179	2669
63	180	2645
64	182	2626
65	185	2620
66	186	2599
67	188	2583
68	189	2563
69	191	2542
70	192	2522
71	194	2506
72	195	2485
73	197	2466
74	198	2447
75	199	2430
76	201	2417
77	203	2399
78	204	2382
79	205	2367
80	207	2354
81	208	2338
82	209	2318
83	211	2303
84	213	2293
85	214	2280
86	216	2267
87	217	2253
88	219	2242
89	220	2231
90	221	2217
91	223	2204
92	224	2193
93	226	2182
94	227	2169
95	229	2157
96	230	2147
97	232	2140
98	234	2130
99	235	2120
100	237	2110
101	238	2103
102	240	2095
103	242	2085
104	243	2076
105	245	2066
106	246	2057
107	247	2046
108	249	2037
109	250	2028
110	252	2019
111	253	2010
112	254	2000
113	256	1992
114	257	1983
115	259	1974
116	260	1963
117	261	1955
118	263	1947
119	264	1938
120	265	1930
121	266	1919
122	268	1912
123	269	1904
124	271	1897
125	272	1889
126	273	1880
127	274	1872
128	277	1870
129	278	1863
130	279	1856
131	281	1853
132	283	1846
133	284	1839
134	286	1832
135	287	1826
136	288	1820
137	290	1814
138	292	1808
139	293	1801
140	294	1796
141	295	1788
142	297	1781
143	298	1774
144	299	1768
145	301	1762
146	302	1755
147	303	1749
148	305	1743
149	306	1738
150	308	1732
151	309	1726
152	310	1720
153	312	1715
154	314	1711
155	315	1706
156	316	1701
157	318	1696
158	320	1692
159	321	1688
160	322	1680
161	323	1675
162	325	1670
163	326	1665
164	328	1660
165	329	1655
166	331	1651
167	332	1647
168	333	1641
169	335	1637
170	336	1633
171	338	1629
172	339	1624
173	341	1619
174	342	1615
175	344	1611
176	345	1606
177	346	1601
178	348	1596
179	349	1592
180	351	1589
181	352	1585
182	354	1581
183	355	1577
184	357	1573
185	358	1569
186	359	1564
187	361	1560
188	363	1558
189	364	1554
190	366	1550
191	368	1548
192	370	1548
193	371	1544
194	373	1540
195	374	1536
196	376	1533
197	377	1529
198	379	1525
199	380	1522
200	382	1518
201	383	1515
202	384	1510
203	386	1506
204	387	1503
205	389	1499
206	390	1496
207	391	1491
208	393	1487
209	394	1485
210	396	1482
211	397	1478
212	399	1474
213	401	1473
214	402	1469
215	403	1466
216	405	1461
217	406	1458
218	408	1455
219	409	1451
220	410	1448
221	412	1445
222	414	1442
223	415	1439
224	416	1435
225	418	1431
226	419	1428
227	420	1425
228	422	1421
229	423	1417
230	425	1414
231	426	1411
232	427	1407
233	429	1404
234	430	1400
235	431	1397
236	432	1393
237	434	1389
238	435	1386
239	436	1383
240	438	1380
241	439	1377
242	441	1374
243	442	1370
244	443	1367
245	445	1364
246	446	1361
247	447	1358
248	449	1354
249	450	1351
250	451	1348
251	453	1345
252	454	1341
253	455	1338
254	457	1335
255	458	1331
256	459	1328
257	460	1325
258	462	1322
259	463	1319
260	465	1316
261	466	1313
262	467	1311
263	469	1308
264	470	1305
265	471	1301
266	473	1298
267	474	1296
268	475	1293
269	477	1290
270	478	1287
271	479	1284
272	481	1281
273	482	1278
274	483	1275
275	485	1273
276	486	1270
277	488	1268
278	489	1265
279	490	1262
280	492	1259
281	493	1256
282	494	1253
283	495	1250
284	497	1247
285	498	1244
286	499	1241
287	501	1239
